|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
    10.499801          nan         nan      19        0        1
    10.508369    24.486097    1.497389      19        0        1
    10.516876    24.711161    0.309814      19        0        1
    10.525383    26.319862    0.270574      19        0        1
    10.533886    27.519249    0.368515      19        0        1
    10.542389    29.239647    0.250861      19        0        1
    10.550890    28.605371    0.326643      19        0        1
    10.559389    27.139641    0.307673      19        0        1
    10.567888    25.992525    0.800785      19        0        1
    10.576385    24.943134    0.288774      19        0        1
    10.584881    24.485384    0.272301      19        0        1
    10.593374    24.242311    0.239798      19        0        1
    10.601867    24.320194    0.339295      19        0        1
    10.610357    24.185846    0.231472      19        0        1
    10.618847    24.135843    0.243563      19        0        1
    10.627336    24.723612    0.326823      19        0        1
    10.635822    24.330626    0.236278      19        0        1
    10.644308    24.683256    0.222649      19        0        1
    10.652792    24.516161    0.173938      19        0        1
    10.661275    24.308296    0.151576      19        0        1
    10.669756    24.617348    0.101423      19        0        1
    10.678236    24.264975    0.118322      19        0        1
    10.686714    24.773760    0.175506      19        0        1
    10.695191    24.794926    0.144185      19        0        1
    10.703667    24.730999    0.106229      19        0        1
    10.712141    24.863262    0.190656      19        0        1
    10.720613    25.078682    0.143080      19        0        1
    10.729086    25.302481    0.259836      19        0        1
    10.737556    25.278580    0.166752      19        0        1
    10.746024    25.165031    0.169256      19        0        1
    10.754491    25.432463    0.216041      19        0        1
    10.762957    25.579321    0.177989      19        0        1
    10.771421    25.379194    0.232734      19        0        1
    10.779884    25.556784    0.276700      19        0        1
    10.788345    25.556749    0.215392      19        0        1
    10.796806    25.682310    0.131952      19        0        1
    10.805264    25.804785    0.313246      19        0        1
    10.813723    25.612383    0.188059      19        0        1
    10.822178    26.287540    0.104684      19        0        1
    10.830633    26.049345    0.232694      19        0        1
    10.839087    26.280521    0.207479      19        0        1
    10.847538    26.515888    0.294685      19        0        1
    10.855988    26.453527    0.105284      19        0        1
    10.864437    26.718159    0.295282      19        0        1
    10.872885    26.418922    0.293161      19        0        1
    10.881330    26.865337    0.198991      19        0        1
    10.889775    26.600737    0.226770      19        0        1
    10.898218    26.845232    0.092151      19        0        1
    10.906660    26.786488    0.165267      19        0        1
    10.915102    27.022305    0.070102      19        0        1
    10.923540    26.963911    0.141310      19        0        1
    10.931978    27.256706    0.138163      19        0        1
    10.940414    27.253918    0.189315      19        0        1
    10.948850    27.295595    0.085173      19        0        1
    10.957283    27.459175    0.057221      19        0        1
    10.965715    27.416048    0.071043      19        0        1
    10.974146    27.642296    0.082496      19        0        1
    10.982576    27.335785    0.235580      19        0        1
    10.991004    27.580114    0.134312      19        0        1
    10.999499    27.582417    0.435367      19        0        1
    11.007925          nan         nan      19        0        1
    11.016349          nan         nan      19        0        1
    11.024772          nan         nan      19        0        1
    11.033193          nan         nan      19        0        1
    11.041613          nan         nan      19        0        1
    11.050031          nan         nan      19        0        1
    11.058448          nan         nan      19        0        1
    11.066864          nan         nan      19        0        1
    11.075278          nan         nan      19        0        1
    11.083761          nan         nan      19        0        1
    11.092173          nan         nan      19        0        1
    11.100584          nan         nan      19        0        1
    11.108992          nan         nan      19        0        1
    11.117399          nan         nan      19        0        1
    11.125806          nan         nan      19        0        1
    11.134211          nan         nan      19        0        1
    11.142614          nan         nan      19        0        1
    11.151016          nan         nan      19        0        1
    11.159417          nan         nan      19        0        1
    11.167816          nan         nan      19        0        1
    11.176214          nan         nan      19        0        1
    11.184610          nan         nan      19        0        1
    11.193007          nan         nan      19        0        1
    11.003922    26.681133    0.276277      18        0        2
    11.012907    26.390800    0.138982      18        0        2
    11.021891    26.875771    0.122615      18        0        2
    11.030873    26.873232    0.151667      18        0        2
    11.039854    26.552429    0.132265      18        0        2
    11.048836    26.974762    0.189785      18        0        2
    11.057814    26.839441    0.223326      18        0        2
    11.066790    26.964806    0.278263      18        0        2
    11.075765    26.514860    0.163304      18        0        2
    11.084738    27.162868    0.118539      18        0        2
    11.093710    27.094950    0.125334      18        0        2
    11.102680    27.220518    0.238042      18        0        2
    11.111649    27.473501    0.226479      18        0        2
    11.120616    27.451523    0.179810      18        0        2
    11.129582    27.351631    0.177694      18        0        2
    11.138546    27.762770    0.176275      18        0        2
    11.147509    27.732952    0.218229      18        0        2
    11.156471    27.803837    0.238176      18        0        2
    11.165430    27.543800    0.198336      18        0        2
    11.174389    28.006498    0.195397      18        0        2
    11.183346    27.822800    0.107958      18        0        2
    11.192301    27.969793    0.270755      18        0        2
    11.201254    28.021444    0.261368      18        0        2
    11.210207    28.018375    0.178369      18        0        2
    11.219158    28.498554    0.158698      18        0        2
    11.228107    28.142338    0.120992      18        0        2
    11.237055    28.687784    0.307116      18        0        2
    11.246002    28.453125    0.155489      18        0        2
    11.254948    28.530190    0.185869      18        0        2
    11.263891    28.601839    0.169158      18        0        2
    11.272833    29.022579    0.146875      18        0        2
    11.281773    28.806480    0.090240      18        0        2
    11.290711    29.238388    0.162258      18        0        2
    11.299648    28.889992    0.208213      18        0        2
    11.308584    28.864571    0.135563      18        0        2
    11.317518    29.113138    0.142610      18        0        2
    11.326451    29.098644    0.198753      18        0        2
    11.335382    29.204386    0.240481      18        0        2
    11.344313    29.207869    0.174283      18        0        2
    11.353241    29.493359    0.131150      18        0        2
    11.362167    29.556231    0.140636      18        0        2
    11.371093    29.640261    0.233214      18        0        2
    11.380016    29.796062    0.080726      18        0        2
    11.388939    29.841986    0.237930      18        0        2
    11.397860    29.866758    0.074078      18        0        2
    11.406779    30.030273    0.098261      18        0        2
    11.415697    30.102571    0.093315      18        0        2
    11.424613    30.230219    0.136464      18        0        2
    11.433529    30.314936    0.088959      18        0        2
    11.442442    30.462612    0.129734      18        0        2
    11.451353    30.439304    0.088296      18        0        2
    11.460264    30.530029    0.052704      18        0        2
    11.469173    30.813959    0.044484      18        0        2
    11.478081    30.615473    0.212696      18        0        2
    11.486986    30.642551    0.081957      18        0        2
    11.495892    30.778078    0.124335      18        0        2
    11.504794    31.067673    0.164296      18        0        2
    11.513696    31.000795    0.406752      18        0        2
    11.522596    31.102047    0.132659      18        0        2
    11.531494    31.260386    0.253175      18        0        2
    11.540392    31.669668    0.191082      18        0        2
    11.549287    31.103239    0.234268      18        0        2
    11.558182    31.583082    0.081221      18        0        2
    11.567074    31.476656    0.113850      18        0        2
    11.575966    31.636789    0.211034      18        0        2
    11.584855    31.522604    0.282993      18        0        2
    11.593743    31.760921    0.140978      18        0        2
    11.602630    31.580870    0.133691      18        0        2
    11.611515    31.825089    0.182557      18        0        2
    11.620399    31.840660    0.163594      18        0        2
    11.629282    32.236755    0.196212      18        0        2
    11.638163    32.356209    0.148874      18        0        2
    11.647041    32.305237    0.293276      18        0        2
    11.655920    32.163902    0.211937      18        0        2
    11.664797    32.824348    0.282492      18        0        2
    11.673672    32.447834    0.285619      18        0        2
    11.682545    33.214817    2.567178      18        0        2
    11.691418    32.578930    0.251854      18        0        2
    11.700288          nan         nan      18        0        2
    11.709157          nan         nan      18        0        2
    11.718024          nan         nan      18        0        2
    11.726891          nan         nan      18        0        2
    11.735756          nan         nan      18        0        2
    11.744619          nan         nan      18        0        2
    11.753481          nan         nan      18        0        2
    11.762435          nan         nan      18        0        2
    11.771295          nan         nan      18        0        2
    11.780152          nan         nan      18        0        2
    11.789008          nan         nan      18        0        2
    11.797863          nan         nan      18        0        2
    11.604083          nan         nan      17        0        3
    11.613594          nan         nan      17        0        3
    11.623104          nan         nan      17        0        3
    11.632612          nan         nan      17        0        3
    11.642124          nan         nan      17        0        3
    11.651628          nan         nan      17        0        3
    11.661132          nan         nan      17        0        3
    11.670633          nan         nan      17        0        3
    11.680134          nan         nan      17        0        3
    11.689632          nan         nan      17        0        3
    11.699129          nan         nan      17        0        3
    11.708624    31.603720    0.182132      17        0        3
    11.718117    31.381695    0.200358      17        0        3
    11.727610    31.328491    0.243781      17        0        3
    11.737100    31.591820    0.288840      17        0        3
    11.746588    30.688917    1.418473      17        0        3
    11.756075    32.015030    0.279323      17        0        3
    11.765561    31.672943    0.235278      17        0        3
    11.775045    31.804464    0.266359      17        0        3
    11.784528    31.750185    0.181576      17        0        3
    11.794008    31.977062    0.215971      17        0        3
    11.803488    32.022366    2.353660      17        0        3
    11.812965    32.271347    0.229691      17        0        3
    11.822443    32.096188    0.155035      17        0        3
    11.831920    32.082985    0.189846      17        0        3
    11.841393    32.540024    0.235433      17        0        3
    11.850864    32.806736    0.171560      17        0        3
    11.860332    32.495731    0.185750      17        0        3
    11.869801    32.585526    0.131239      17        0        3
    11.879268    32.338711    0.131141      17        0        3
    11.888732    32.541569    0.184484      17        0        3
    11.898195    32.595337    0.111101      17        0        3
    11.907658    33.048180    0.126664      17        0        3
    11.917116    32.995052    0.454865      17        0        3
    11.926575    33.238956    0.220225      17        0        3
    11.936031    33.167053    0.204987      17        0        3
    11.945487    33.151054    0.187385      17        0        3
    11.954941    33.181206    0.247591      17        0        3
