|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
    10.499801          nan         nan      19        0        1
    10.508369     0.291310    0.019435      19        0        1
    10.516876     0.284003    0.005652      19        0        1
    10.525383     0.287164    0.003307      19        0        1
    10.533886     0.289165    0.005646      19        0        1
    10.542389     0.287781    0.003981      19        0        1
    10.550890     0.284919    0.004972      19        0        1
    10.559389     0.288360    0.004679      19        0        1
    10.567888     0.292629    0.010404      19        0        1
    10.576385     0.284053    0.004754      19        0        1
    10.584881     0.296700    0.004636      19        0        1
    10.593374     0.288644    0.004278      19        0        1
    10.601867     0.294666    0.006766      19        0        1
    10.610357     0.293722    0.004695      19        0        1
    10.618847     0.295726    0.004255      19        0        1
    10.627336     0.293981    0.006652      19        0        1
    10.635822     0.290578    0.005697      19        0        1
    10.644308     0.302225    0.004187      19        0        1
    10.652792     0.297236    0.003763      19        0        1
    10.661275     0.297630    0.003952      19        0        1
    10.669756     0.304346    0.002746      19        0        1
    10.678236     0.299691    0.002638      19        0        1
    10.686714     0.300126    0.004054      19        0        1
    10.695191     0.299442    0.003057      19        0        1
    10.703667     0.303763    0.002746      19        0        1
    10.712141     0.302483    0.003307      19        0        1
    10.720613     0.302770    0.003863      19        0        1
    10.729086     0.306467    0.005093      19        0        1
    10.737556     0.310192    0.005078      19        0        1
    10.746024     0.311492    0.003932      19        0        1
    10.754491     0.310707    0.005117      19        0        1
    10.762957     0.320801    0.003822      19        0        1
    10.771421     0.324145    0.003159      19        0        1
    10.779884     0.339345    0.005987      19        0        1
    10.788345     0.347333    0.004413      19        0        1
    10.796806     0.369123    0.003855      19        0        1
    10.805264     0.455274    0.008856      19        0        1
    10.813723     0.559312    0.007372      19        0        1
    10.822178     0.491640    0.006150      19        0        1
    10.830633     0.359056    0.003089      19        0        1
    10.839087     0.326772    0.002796      19        0        1
    10.847538     0.320941    0.003167      19        0        1
    10.855988     0.318664    0.003153      19        0        1
    10.864437     0.323630    0.003118      19        0        1
    10.872885     0.318220    0.002097      19        0        1
    10.881330     0.322870    0.004272      19        0        1
    10.889775     0.318766    0.003044      19        0        1
    10.898218     0.327186    0.003019      19        0        1
    10.906660     0.321756    0.003404      19        0        1
    10.915102     0.328585    0.002575      19        0        1
    10.923540     0.321202    0.003979      19        0        1
    10.931978     0.326391    0.002646      19        0        1
    10.940414     0.323519    0.003583      19        0        1
    10.948850     0.321996    0.002962      19        0        1
    10.957283     0.326397    0.002935      19        0        1
    10.965715     0.329241    0.002895      19        0        1
    10.974146     0.327499    0.002497      19        0        1
    10.982576     0.330423    0.002629      19        0        1
    10.991004     0.333989    0.002006      19        0        1
    10.999499     0.332924    0.005564      19        0        1
    11.007925          nan         nan      19        0        1
    11.016349          nan         nan      19        0        1
    11.024772          nan         nan      19        0        1
    11.033193          nan         nan      19        0        1
    11.041613          nan         nan      19        0        1
    11.050031          nan         nan      19        0        1
    11.058448          nan         nan      19        0        1
    11.066864          nan         nan      19        0        1
    11.075278          nan         nan      19        0        1
    11.083761          nan         nan      19        0        1
    11.092173          nan         nan      19        0        1
    11.100584          nan         nan      19        0        1
    11.108992          nan         nan      19        0        1
    11.117399          nan         nan      19        0        1
    11.125806          nan         nan      19        0        1
    11.134211          nan         nan      19        0        1
    11.142614          nan         nan      19        0        1
    11.151016          nan         nan      19        0        1
    11.159417          nan         nan      19        0        1
    11.167816          nan         nan      19        0        1
    11.176214          nan         nan      19        0        1
    11.184610          nan         nan      19        0        1
    11.193007          nan         nan      19        0        1
    11.003922     0.327831    0.004049      18        0        2
    11.012907     0.326698    0.002624      18        0        2
    11.021891     0.328759    0.002592      18        0        2
    11.030873     0.331866    0.002626      18        0        2
    11.039854     0.334274    0.002829      18        0        2
    11.048836     0.329898    0.002839      18        0        2
    11.057814     0.325266    0.003124      18        0        2
    11.066790     0.341027    0.004819      18        0        2
    11.075765     0.328600    0.002800      18        0        2
    11.084738     0.331673    0.002199      18        0        2
    11.093710     0.334160    0.002437      18        0        2
    11.102680     0.338231    0.004832      18        0        2
    11.111649     0.338402    0.003927      18        0        2
    11.120616     0.334237    0.005729      18        0        2
    11.129582     0.339476    0.003252      18        0        2
    11.138546     0.339278    0.003829      18        0        2
    11.147509     0.340240    0.004568      18        0        2
    11.156471     0.344603    0.004005      18        0        2
    11.165430     0.335668    0.004106      18        0        2
    11.174389     0.339698    0.004111      18        0        2
    11.183346     0.338119    0.002837      18        0        2
    11.192301     0.344619    0.005115      18        0        2
    11.201254     0.341507    0.005049      18        0        2
    11.210207     0.342541    0.004610      18        0        2
    11.219158     0.347223    0.003117      18        0        2
    11.228107     0.341467    0.002975      18        0        2
    11.237055     0.346084    0.007034      18        0        2
    11.246002     0.347793    0.004227      18        0        2
    11.254948     0.349493    0.004435      18        0        2
    11.263891     0.348205    0.003001      18        0        2
    11.272833     0.347906    0.003241      18        0        2
    11.281773     0.346437    0.002266      18        0        2
    11.290711     0.352336    0.004334      18        0        2
    11.299648     0.348895    0.003855      18        0        2
    11.308584     0.354220    0.003423      18        0        2
    11.317518     0.351081    0.003633      18        0        2
    11.326451     0.350841    0.005211      18        0        2
    11.335382     0.352386    0.005065      18        0        2
    11.344313     0.350215    0.003996      18        0        2
    11.353241     0.354109    0.004410      18        0        2
    11.362167     0.360290    0.003089      18        0        2
    11.371093     0.360876    0.007166      18        0        2
    11.380016     0.357634    0.002554      18        0        2
    11.388939     0.360208    0.004090      18        0        2
    11.397860     0.360035    0.003453      18        0        2
    11.406779     0.362857    0.003078      18        0        2
    11.415697     0.356939    0.002986      18        0        2
    11.424613     0.361739    0.004203      18        0        2
    11.433529     0.363951    0.004162      18        0        2
    11.442442     0.366339    0.003179      18        0        2
    11.451353     0.370377    0.003149      18        0        2
    11.460264     0.370320    0.003545      18        0        2
    11.469173     0.376860    0.003503      18        0        2
    11.478081     0.382864    0.002908      18        0        2
    11.486986     0.385451    0.002925      18        0        2
    11.495892     0.394823    0.003104      18        0        2
    11.504794     0.402028    0.002766      18        0        2
    11.513696     0.409283    0.004724      18        0        2
    11.522596     0.417661    0.003505      18        0        2
    11.531494     0.421249    0.002637      18        0        2
    11.540392     0.421919    0.003990      18        0        2
    11.549287     0.419440    0.003154      18        0        2
    11.558182     0.419760    0.004055      18        0        2
    11.567074     0.416500    0.004837      18        0        2
    11.575966     0.422184    0.003436      18        0        2
    11.584855     0.424289    0.006187      18        0        2
    11.593743     0.423307    0.003517      18        0        2
    11.602630     0.422700    0.003282      18        0        2
    11.611515     0.426139    0.003515      18        0        2
    11.620399     0.424416    0.003417      18        0        2
    11.629282     0.425378    0.002992      18        0        2
    11.638163     0.428128    0.002898      18        0        2
    11.647041     0.422225    0.004415      18        0        2
    11.655920     0.421668    0.004249      18        0        2
    11.664797     0.424483    0.003719      18        0        2
    11.673672     0.410500    0.003805      18        0        2
    11.682545     0.418491    0.036604      18        0        2
    11.691418     0.410516    0.004426      18        0        2
    11.700288          nan         nan      18        0        2
    11.709157          nan         nan      18        0        2
    11.718024          nan         nan      18        0        2
    11.726891          nan         nan      18        0        2
    11.735756          nan         nan      18        0        2
    11.744619          nan         nan      18        0        2
    11.753481          nan         nan      18        0        2
    11.762435          nan         nan      18        0        2
    11.771295          nan         nan      18        0        2
    11.780152          nan         nan      18        0        2
    11.789008          nan         nan      18        0        2
    11.797863          nan         nan      18        0        2
    11.604083          nan         nan      17        0        3
    11.613594          nan         nan      17        0        3
    11.623104          nan         nan      17        0        3
    11.632612          nan         nan      17        0        3
    11.642124          nan         nan      17        0        3
    11.651628          nan         nan      17        0        3
    11.661132          nan         nan      17        0        3
    11.670633          nan         nan      17        0        3
    11.680134          nan         nan      17        0        3
    11.689632          nan         nan      17        0        3
    11.699129          nan         nan      17        0        3
    11.708624     0.416848    0.004187      17        0        3
    11.718117     0.397686    0.004584      17        0        3
    11.727610     0.408270    0.007199      17        0        3
    11.737100     0.412018    0.006645      17        0        3
    11.746588     0.400659    0.023362      17        0        3
    11.756075     0.410437    0.006342      17        0        3
    11.765561     0.407415    0.005596      17        0        3
    11.775045     0.411972    0.006735      17        0        3
    11.784528     0.408242    0.005469      17        0        3
    11.794008     0.406374    0.004562      17        0        3
    11.803488     0.407366    0.031847      17        0        3
    11.812965     0.414011    0.005492      17        0        3
    11.822443     0.410293    0.004673      17        0        3
    11.831920     0.412456    0.005012      17        0        3
    11.841393     0.408117    0.004347      17        0        3
    11.850864     0.416967    0.004050      17        0        3
    11.860332     0.414027    0.004630      17        0        3
    11.869801     0.411613    0.003230      17        0        3
    11.879268     0.408945    0.003539      17        0        3
    11.888732     0.414247    0.003690      17        0        3
    11.898195     0.415697    0.003087      17        0        3
    11.907658     0.417878    0.003424      17        0        3
    11.917116     0.415275    0.008540      17        0        3
    11.926575     0.414908    0.005970      17        0        3
    11.936031     0.415031    0.005232      17        0        3
    11.945487     0.413696    0.004534      17        0        3
    11.954941     0.416867    0.004738      17        0        3
