|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
    10.499801          nan         nan      19        0        1
    10.508369     0.795258    0.206325      19        0        1
    10.516876     0.776870    0.012042      19        0        1
    10.525383     0.795705    0.011625      19        0        1
    10.533886     0.794803    0.015073      19        0        1
    10.542389     0.805333    0.199785      19        0        1
    10.550890     0.783317    0.013640      19        0        1
    10.559389     0.793802    0.012481      19        0        1
    10.567888     0.810252    0.062323      19        0        1
    10.576385     0.797250    0.015312      19        0        1
    10.584881     0.806059    0.009106      19        0        1
    10.593374     0.804232    0.012995      19        0        1
    10.601867     0.806521    0.017064      19        0        1
    10.610357     0.824574    0.011276      19        0        1
    10.618847     0.862197    0.011829      19        0        1
    10.627336     0.949560    0.021445      19        0        1
    10.635822     0.937191    0.018468      19        0        1
    10.644308     0.873604    0.013894      19        0        1
    10.652792     0.819815    0.010327      19        0        1
    10.661275     0.811157    0.010884      19        0        1
    10.669756     0.816756    0.005296      19        0        1
    10.678236     0.796329    0.006172      19        0        1
    10.686714     0.816080    0.014671      19        0        1
    10.695191     0.806355    0.008183      19        0        1
    10.703667     0.811009    0.007231      19        0        1
    10.712141     0.815549    0.007663      19        0        1
    10.720613     0.813647    0.009059      19        0        1
    10.729086     0.823200    0.011373      19        0        1
    10.737556     0.814211    0.006951      19        0        1
    10.746024     0.822012    0.007762      19        0        1
    10.754491     0.819552    0.009991      19        0        1
    10.762957     0.815033    0.006472      19        0        1
    10.771421     0.822214    0.005584      19        0        1
    10.779884     0.837782    0.013458      19        0        1
    10.788345     0.830470    0.011960      19        0        1
    10.796806     0.820161    0.005234      19        0        1
    10.805264     0.834993    0.010298      19        0        1
    10.813723     0.816366    0.006890      19        0        1
    10.822178     0.839719    0.007167      19        0        1
    10.830633     0.823155    0.010249      19        0        1
    10.839087     0.831989    0.006770      19        0        1
    10.847538     0.840992    0.008156      19        0        1
    10.855988     0.839376    0.007396      19        0        1
    10.864437     0.836234    0.019761      19        0        1
    10.872885     0.829662    0.004544      19        0        1
    10.881330     0.867785    0.494533      19        0        1
    10.889775     0.826915    0.007736      19        0        1
    10.898218     0.843819    0.388004      19        0        1
    10.906660     0.835465    0.035325      19        0        1
    10.915102     0.847643    0.009002      19        0        1
    10.923540     0.838021    0.035044      19        0        1
    10.931978     0.843889    0.007536      19        0        1
    10.940414     0.841623    0.010160      19        0        1
    10.948850     0.837537    0.005920      19        0        1
    10.957283     0.844405    0.006764      19        0        1
    10.965715     0.855814    0.006023      19        0        1
    10.974146     0.849744    0.006583      19        0        1
    10.982576     0.840016    0.034855      19        0        1
    10.991004     0.854203    0.007564      19        0        1
    10.999499     0.838686    0.016258      19        0        1
    11.007925          nan         nan      19        0        1
    11.016349          nan         nan      19        0        1
    11.024772          nan         nan      19        0        1
    11.033193          nan         nan      19        0        1
    11.041613          nan         nan      19        0        1
    11.050031          nan         nan      19        0        1
    11.058448          nan         nan      19        0        1
    11.066864          nan         nan      19        0        1
    11.075278          nan         nan      19        0        1
    11.083761          nan         nan      19        0        1
    11.092173          nan         nan      19        0        1
    11.100584          nan         nan      19        0        1
    11.108992          nan         nan      19        0        1
    11.117399          nan         nan      19        0        1
    11.125806          nan         nan      19        0        1
    11.134211          nan         nan      19        0        1
    11.142614          nan         nan      19        0        1
