|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
    10.499801          nan         nan      19        0        1
    10.508369     0.269420    0.067218      19        0        1
    10.516876     0.264028    0.003932      19        0        1
    10.525383     0.267562    0.004494      19        0        1
    10.533886     0.269638    0.005334      19        0        1
    10.542389     0.285550    0.004382      19        0        1
    10.550890     0.265780    0.004014      19        0        1
    10.559389     0.264928    0.005091      19        0        1
    10.567888     0.277037    0.013580      19        0        1
    10.576385     0.274818    0.006344      19        0        1
    10.584881     0.266598    0.004270      19        0        1
    10.593374     0.278712    0.004705      19        0        1
    10.601867     0.273069    0.012823      19        0        1
    10.610357     0.279121    0.005048      19        0        1
    10.618847     0.273860    0.004177      19        0        1
    10.627336     0.273129    0.006562      19        0        1
    10.635822     0.275943    0.006047      19        0        1
    10.644308     0.279229    0.004162      19        0        1
    10.652792     0.275307    0.004503      19        0        1
    10.661275     0.283169    0.005828      19        0        1
    10.669756     0.287476    0.077046      19        0        1
    10.678236     0.278356    0.003245      19        0        1
    10.686714     0.283206    0.005607      19        0        1
    10.695191     0.281952    0.004315      19        0        1
    10.703667     0.284303    0.003970      19        0        1
    10.712141     0.276718    0.004961      19        0        1
    10.720613     0.284973    0.004297      19        0        1
    10.729086     0.280769    0.004357      19        0        1
    10.737556     0.284531    0.004933      19        0        1
    10.746024     0.294576    0.003558      19        0        1
    10.754491     0.299629    0.006153      19        0        1
    10.762957     0.319960    0.005342      19        0        1
    10.771421     0.343763    0.003205      19        0        1
    10.779884     0.333340    0.008171      19        0        1
    10.788345     0.298633    0.004245      19        0        1
    10.796806     0.288227    0.004836      19        0        1
    10.805264     0.288653    0.005916      19        0        1
    10.813723     0.282749    0.003861      19        0        1
    10.822178     0.298314    0.006563      19        0        1
    10.830633     0.289837    0.012234      19        0        1
    10.839087     0.284442    0.003127      19        0        1
    10.847538     0.292355    0.003686      19        0        1
    10.855988     0.293191    0.005320      19        0        1
    10.864437     0.294827    0.003191      19        0        1
    10.872885     0.288165    0.053529      19        0        1
    10.881330     0.301622    0.004227      19        0        1
    10.889775     0.297427    0.003856      19        0        1
    10.898218     0.296957    0.126669      19        0        1
    10.906660     0.302679    0.005177      19        0        1
    10.915102     0.286825    0.005472      19        0        1
    10.923540     0.288315    0.008843      19        0        1
    10.931978     0.293409    0.004177      19        0        1
    10.940414     0.287936    0.003446      19        0        1
    10.948850     0.300408    0.005555      19        0        1
    10.957283     0.299675    0.004520      19        0        1
    10.965715     0.295578    0.003010      19        0        1
    10.974146     0.296654    0.006350      19        0        1
    10.982576     0.301663    0.003155      19        0        1
    10.991004     0.296700    0.004997      19        0        1
    10.999499     0.302982    0.006097      19        0        1
    11.007925          nan         nan      19        0        1
    11.016349          nan         nan      19        0        1
    11.024772          nan         nan      19        0        1
    11.033193          nan         nan      19        0        1
    11.041613          nan         nan      19        0        1
    11.050031          nan         nan      19        0        1
    11.058448          nan         nan      19        0        1
    11.066864          nan         nan      19        0        1
    11.075278          nan         nan      19        0        1
    11.083761          nan         nan      19        0        1
    11.092173          nan         nan      19        0        1
    11.100584          nan         nan      19        0        1
    11.108992          nan         nan      19        0        1
    11.117399          nan         nan      19        0        1
    11.125806          nan         nan      19        0        1
    11.134211          nan         nan      19        0        1
    11.142614          nan         nan      19        0        1
